name,street,city,state,zip
Advocate Illinois Masonic Medical Center,836 W. Wellington Ave.,Chicago,IL,"""60657"""
Advocate Illinois Masonic Medical Center,836 W. Wellington Ave.,Chicago,IL,"""60657"""
Advocate Illinois Masonic Medical Center,836 W. Wellington Ave.,Chicago,IL,"""60657"""
Advocate Kutsch College of Nursing,4300 N. Narragansett Ave.,Chicago,IL,"""60634"""
Advocate Trinity Hospital,2320 E 93rd St,Chicago,IL,"""60617-9984"""
Aerobics and Fitness Association of America (AFAA) Distance Education Center,"15250 Ventura Boulevard, Suite 200",Sherman Oaks,CA,"""91403"""
Aerosim Flight Academy - Houston,"12711 Blume Avenue, Ellington Field",Houston,TX,"""77034"""
Aerosim Flight Academy - Sanford,2700 Flight Line Ave,Sanford,FL,"""32773"""
Aesthetics Institute of Cosmetology,"701 Russell Avenue, Space H110 & H103",Gaithersburg,MD,"""20877"""
"AF International School of Languages, Inc",3625 Thousand Oaks Blvd.,Westlake Village,CA,
"AF International School of Languages, Inc.",3807 Wilshire Blvd.,Los Angeles,CA,
"AF International School of Languages, Inc.",3807 Wilshire Blvd.,Los Angeles,CA,
Agape English Language Institute for Internationals,"1600 Park Circle, Suite 116",Columbia,SC,"""29201"""
Age of Montessori,"301 Evergreen Drive, Suite 100",Bozeman,MT,"""59715"""
Agnes Scott College,141 E. College Ave,Decatur,GA,"""30030-3797"""
Aguadilla Technological College,"Arzuaga 112, Medino Center 1105",Rio Piedras,PR,"""00674"""
AHRC New York City,83 Maiden Lane,New York,NY,"""10038"""
AIB College of Business,2500 Fleur Drive,Des Moines,IA,"""50321-1799"""
Aiken School of Cosmetology,225 Richland Avenue E,Aiken,SC,"""29801"""
Aiken School of Cosmetology,225 Richland Avenue E,Aiken,SC,"""29801"""
Aiken Technical College,2276 Jefferson Davis Highway,Graniteville,SC,"""29829"""
Aiken Technical College,2276 Jefferson Davis Highway,Graniteville,SC,"""29829"""
Aiken Technical College,2276 Jefferson Davis Highway,Graniteville,SC,"""29829"""
Aiken Technical College,2276 Jefferson Davis Highway,Graniteville,SC,"""29829"""
